emp_id,name,basic_salary,bnous,department,experience
1,Nelle,97611.08,2392.53,Marketing,1
2,Shelagh,96652.15,1768.95,Marketing,9
3,Guntar,109286.81,2671.96,Human Resources,19
4,Veda,32795.18,3836.73,Finance,29
5,Fairlie,84885.07,1050.2,IT,5
6,Juliane,37815.92,4581.88,Research and Development,2
7,Wilbert,98139.83,45.29,Marketing,2
8,Launce,105619.45,2861.55,Marketing,5
9,Waverly,89440.71,3475.75,Operations,5
10,Sawyer,42219.66,4315.41,Sales,13
11,Elenore,32051.34,1260.93,Marketing,16
12,Cullin,67816.72,4284.26,Finance,3
13,Jesus,38923.92,4812.77,Operations,14
14,Myrtia,69812.4,1637.78,Sales,4
15,Winnie,43622.19,2542.26,IT,17
16,Casar,50726.9,4773.49,Marketing,9
17,Fredek,101073.31,1463.83,Operations,5
18,Merissa,92303.77,153.76,IT,29
19,Spike,78506.95,2658.41,Operations,21
20,Barnett,40441.17,3463.22,Operations,0
21,Caryl,31175.58,2703.01,Finance,13
22,Rheta,92050.18,4104.12,Research and Development,14
23,Vernice,63122.08,916.77,Sales,13
24,Shurlocke,61416.86,2407.33,Human Resources,13
25,Cale,104447.83,1881.45,Human Resources,17
26,Rodolfo,77241.28,2400.37,Research and Development,0
27,Kerrill,72960.38,2991.44,Finance,17
28,Caesar,30675.35,3750.71,Operations,15
29,Bertina,87739.24,4538.77,Marketing,11
30,Heidie,50022.42,734.25,Finance,25
31,Jessi,108358.51,3039.58,Research and Development,24
32,Giuseppe,59900.02,2772.03,Marketing,20
33,Robby,66291.8,3060.91,IT,18
34,Rafaelia,98423.25,1705.67,Operations,25
35,Addie,56632.46,4710.64,Operations,22
36,Wilmette,42481.51,1763.92,IT,15
37,Chadd,98885.34,352.3,IT,6
38,Reggy,71901.33,1293.84,Research and Development,30
39,Dorian,99904.56,2780.49,Finance,27
40,Ronny,37886.63,498.01,Operations,1
41,Honey,82333.25,4260.07,Human Resources,14
42,Braden,65340.34,386.53,IT,26
43,Normand,82082.44,2187.71,IT,27
44,Dicky,99612.59,3646.5,Marketing,2
45,Rorke,32309.89,3986.54,Operations,15
46,Claiborn,105817.38,3940.0,Marketing,5
47,Celestina,44038.94,3246.43,Sales,1
48,Kordula,39176.56,4122.17,Marketing,25
49,Thurston,34206.38,2447.75,Marketing,29
50,Natal,92475.21,4878.65,Finance,29
51,Earvin,92389.36,3385.71,Sales,0
52,Blinny,78283.29,2354.11,IT,21
53,Erasmus,67742.78,3753.97,Marketing,5
54,Maurise,83886.38,2982.37,Operations,10
55,Griselda,91973.73,4988.23,Human Resources,19
56,Kary,75351.89,4088.01,Sales,4
57,Loutitia,104975.05,22.0,IT,0
58,Cris,84029.84,1074.13,Finance,21
59,Brad,100888.31,1610.5,Human Resources,24
60,Berny,111472.94,3935.8,Human Resources,1
61,Dorolice,50904.92,4204.52,Research and Development,23
62,Ulberto,104133.75,4589.21,Operations,19
63,Shanan,107336.38,1637.37,Research and Development,0
64,Giustino,40547.11,4200.58,Human Resources,28
65,Missie,40021.7,1955.43,IT,15
66,Tandi,107020.39,1852.75,Human Resources,19
67,Kacie,97232.55,4345.66,Sales,27
68,Porter,78211.14,4996.21,Finance,7
69,Carolann,46858.1,2314.92,IT,27
70,Sarine,103738.56,1002.66,Human Resources,6
71,Vernice,44702.05,2117.79,Sales,20
72,Stu,65288.35,2778.25,Marketing,5
73,Meghan,55681.4,2213.8,Operations,12
74,Avril,113459.77,303.67,Human Resources,7
75,Noelyn,49742.53,4965.75,IT,1
76,Prudence,107317.23,2113.0,Sales,17
77,Garth,93079.09,2427.6,IT,28
78,Hayyim,70205.53,4000.03,Marketing,30
79,Shanie,58600.65,3688.18,Human Resources,26
80,Floris,119203.51,337.55,Research and Development,29
81,Ame,58948.54,1218.93,Finance,1
82,Arabele,92087.11,1900.15,Operations,13
83,Rudy,68917.05,7.58,Research and Development,11
84,Natalee,50571.88,527.74,Finance,12
85,Llewellyn,58290.89,232.7,Marketing,6
