order_id,quantity,qu,region,cost_price,selling_price
1,29,Simone,MAHARASTRA,485.8,2318.1
2,29,Vivyan,DELHI,467.38,2157.31
3,30,Codee,UP,360.83,4908.94
4,20,Henryetta,RAJASTHAN,347.8,2635.87
5,29,Dominik,RAJASTHAN,387.53,2948.22
6,4,Marys,TAMIL NADU,307.74,1410.52
7,15,Brittney,TAMIL NADU,414.35,4283.74
8,1,Sosanna,UK,314.65,3244.45
9,22,Ara,TAMIL NADU,306.94,918.72
10,7,Pasquale,TAMIL NADU,424.19,1632.71
11,1,Rene,UK,316.06,1984.63
12,26,Cecil,WB,383.88,1598.29
13,3,Ado,DELHI,342.68,4629.81
14,30,Benson,UP,393.1,3318.46
15,15,Lexi,DELHI,487.38,2376.46
16,28,Mord,RAJASTHAN,314.06,4598.01
17,26,Hammad,UP,491.43,2968.19
18,30,Waylan,WB,477.89,4908.75
19,9,Quintilla,UK,434.97,4382.74
20,25,Ealasaid,WB,407.25,3187.48
21,12,Walther,DELHI,315.29,2149.97
22,2,Mata,UK,309.71,4251.08
23,8,Elliott,DELHI,499.05,3072.26
24,3,Lynn,DELHI,344.68,2645.81
25,1,Agna,TAMIL NADU,464.24,4089.3
26,22,Maddie,TAMIL NADU,410.89,3800.43
27,14,Yvon,MAHARASTRA,438.98,3671.37
28,10,Rand,RAJASTHAN,307.39,3383.74
29,6,Zonda,MAHARASTRA,483.01,2865.21
30,0,Sibeal,UK,453.48,1370.32
31,15,Lazarus,WB,365.01,2542.34
32,7,Ethe,UP,370.73,2564.58
33,10,Daven,UP,440.61,3051.4
34,30,Kevyn,TAMIL NADU,457.05,1686.79
35,25,Knox,DELHI,472.81,2066.2
36,22,Guglielma,UK,451.86,4318.91
37,12,Bev,UP,451.34,3535.36
38,29,Vitia,MAHARASTRA,340.39,3823.56
39,21,Adey,RAJASTHAN,371.17,3421.01
40,8,Holly,MAHARASTRA,320.19,2696.11
41,15,Fannie,RAJASTHAN,462.8,4652.8
42,15,Norean,UK,340.32,4702.77
43,15,Sibby,DELHI,315.69,4119.86
44,20,Ulrica,MAHARASTRA,438.56,1647.01
45,7,Mirella,RAJASTHAN,406.35,2889.16
46,17,Boniface,DELHI,468.47,4744.36
47,10,Lindon,MAHARASTRA,455.64,4682.81
48,8,Blakelee,UP,344.08,858.35
49,24,Lamont,MAHARASTRA,303.54,3700.14
50,0,Pietra,TAMIL NADU,373.86,1238.04
51,18,Karrah,WB,385.77,3109.08
52,6,Farleigh,MAHARASTRA,381.85,1679.17
53,24,Austina,DELHI,444.46,4627.45
54,29,Bradley,TAMIL NADU,383.06,2506.74
55,4,Teodora,UK,462.81,3997.75
56,2,Emilio,MAHARASTRA,466.79,3270.29
57,16,Cesar,TAMIL NADU,334.8,4339.09
58,29,Francisca,UK,494.64,678.08
59,7,Raffaello,UP,435.59,4318.61
60,12,Brodie,RAJASTHAN,311.46,975.44
61,24,Barbabas,UP,471.01,4150.55
62,3,Prentice,MAHARASTRA,301.02,1611.81
63,2,Jessee,MAHARASTRA,477.23,1687.77
64,2,Hallie,TAMIL NADU,326.96,3703.54
65,26,Araldo,DELHI,468.07,1984.02
66,15,Pooh,RAJASTHAN,350.5,4708.01
67,2,Lou,WB,409.64,1934.95
68,21,Marj,UP,309.14,3975.33
69,19,Wayland,RAJASTHAN,451.08,1851.99
70,1,Roch,RAJASTHAN,450.51,2174.1
71,19,Crissy,UP,435.65,641.28
72,11,Sharline,DELHI,452.83,4483.42
73,6,Felicdad,UP,409.86,1018.72
74,18,Malcolm,UP,302.01,4643.51
75,7,Drona,UK,318.89,1005.99
76,30,Diann,WB,307.1,1466.75
77,2,Ashton,DELHI,495.89,1188.41
78,8,Drusy,UP,395.24,2400.4
79,11,Wendi,DELHI,407.43,833.5
80,11,Maddi,TAMIL NADU,385.07,3324.24
81,19,Winni,UP,397.92,1012.73
82,17,Kendal,DELHI,435.71,3270.82
83,12,Dillon,UK,356.81,1829.63
84,21,Harry,UP,400.1,3373.01
85,26,Harwell,UP,388.44,4872.48
86,20,Tiffy,UP,447.07,4970.92
87,26,Miquela,WB,337.11,4349.67
88,6,Glynnis,WB,477.02,3433.21
89,26,Haleigh,WB,474.6,3061.18
90,14,Penny,UK,320.17,4069.2
91,8,Fraze,UP,488.59,802.82
92,27,Meredith,RAJASTHAN,391.85,647.31
93,18,Martelle,DELHI,330.09,828.27
94,14,Ellen,MAHARASTRA,445.86,672.57
95,3,Marita,UP,490.02,529.92
96,25,Karoly,WB,446.82,2543.76
97,18,Merilyn,DELHI,481.17,3499.87
98,26,Fawnia,WB,426.9,4853.07
99,18,Carmita,UK,489.47,4324.59
100,15,Dolorita,WB,360.3,4488.55
101,8,Gregg,WB,493.95,3897.71
102,4,Krista,MAHARASTRA,347.78,2827.47
103,17,Ottilie,UP,387.32,597.39
104,11,Brinna,TAMIL NADU,427.46,4763.31
105,7,Edyth,MAHARASTRA,328.52,1474.19
106,19,Moritz,RAJASTHAN,355.43,2773.96
107,28,Keen,UP,485.47,3344.93
108,15,Elizabet,TAMIL NADU,465.4,2726.78
109,13,Carri,DELHI,367.59,700.45
110,13,Daune,WB,305.22,923.43
111,15,Renaud,WB,426.2,4966.06
112,8,Natale,MAHARASTRA,433.7,2290.95
113,9,Murray,UP,310.0,2222.28
114,28,Shandie,WB,460.94,4995.4
115,26,Dinah,MAHARASTRA,485.63,1787.31
116,1,Gina,UK,353.0,4726.98
117,21,Katina,DELHI,401.79,2460.32
118,27,Farah,DELHI,415.43,562.93
119,4,Elysha,UP,317.89,3221.25
120,17,Goldina,TAMIL NADU,309.13,3248.04
121,2,Corny,MAHARASTRA,447.26,2709.43
122,3,Port,WB,305.7,1268.86
123,14,Hali,TAMIL NADU,447.6,4500.26
124,3,Alameda,UK,490.0,4777.36
125,12,Fletch,UK,320.29,4013.98
126,3,Barth,TAMIL NADU,378.38,2071.91
127,17,Nevil,TAMIL NADU,308.64,1894.44
128,26,Dimitry,RAJASTHAN,424.24,1614.98
129,0,Winifield,DELHI,432.25,4316.05
130,6,Minnnie,UK,463.22,3019.18
131,9,Aleen,DELHI,381.57,4097.1
132,17,Verine,UP,353.26,3670.71
133,6,Ignacio,UP,479.49,4569.11
134,28,Sileas,TAMIL NADU,444.24,2059.7
